  [fresh-data] disk cache bypassed; all QB data will be re-fetched on this run (use --allow-stale-cache to override)

==================================================================
  Inventory Forecaster — Pets+People
==================================================================
  Manual projection columns: 05_03_W1 → 10_25_W26

[1/4] Pulling projections from Quickbase ...
      1513 records retrieved

[2/4] Pulling master pack + Season from Styles ...
      1510 master pack records loaded (150 with Season tag)

[2.5] Pulling Amazon catalog POS for 1513 mstyles ...
      1352 mstyles with POS data loaded
      viewer_pos_cache.json refreshed (1352 mstyles)

[2.6] Pulling Amazon Catalog US (F38 signals) for 1513 mstyles ...
      1352 mstyles with Amazon Catalog US signals loaded

[2.8] VP-Q4 forward-PO zero: fetching confirmed open POs in forward 26w window for 1513 keys ...
      [vp-q4] BULK fetch: running QB report #27 on table bp8r4dejr (replaces per-account loop) ...
      [vp-q4] 9,696 rows in 2.8s (1 API call vs ~1 per-account calls)
      [vp-q4] cached → open_pos_report.json (reused for 0h)
      [vp-q4] bucketed 1,902 in-scope rows across 350 keys (skipped: 7,013 out-of-scope · 0 zero-qty · 0 no-date · 781 outside-26w)
      350 keys have confirmed forward POs (total open qty: 137,417 units)

[3/4] Running forecasts ...
      Mstyle-family index: 1232 mstyles with active siblings
      Customer-baseline  : 1 customers  (global median wk-rate: 21.2)
      1513 forecasts complete in 1.1s
      Croston's: 420  Heuristic: 91  Inactive: 366  Inactive (zero order history): 14  Inactive+Floor: 1  Inactive+Floor (R3): 2  Reactivating: 7  Seasonal Baseline: 324  Sparse Intermittent: 288  Bi-weekly enforced: 0  Alerts (>5%): 1113
      Saved → forecast_results.json
      Open viewer: python scripts/viewer.py --results forecast_results.json

[DRY RUN] Skipping write-back.

==================================================================
  COMPLETE  |  1513 records  |  Total 26w demand: 4,249,349
  1864-BB0094                        +28.8%  Seasonal Baseline            4,944       6,940
  1864-BB0094AMZ12                   +75.0%  Sparse Intermittent                4          16
  1864-BB0094PCS12                   +75.4%  Seasonal Baseline               32         130
  1864-BB0094PCS2                   +100.0%  Seasonal Baseline                0         260
  1864-BB0096                        +20.8%  Seasonal Baseline            9,492      11,985
  1864-BB0096PCS12                   +63.1%  Seasonal Baseline               48         130
  1864-BB0096PCS2                    +60.8%  Seasonal Baseline              102         260
  1864-BB0098                         +5.0%  Seasonal Baseline           36,900      38,860
  1864-BB0098PCS12                   +78.1%  Croston's                    57         260
  1864-BB0100                        +35.1%  Seasonal Baseline            4,104       6,320
  1864-BB0100PCS12                  +100.0%  Croston's                     0         130
  1864-BB0100PCS2                    +98.5%  Seasonal Baseline              516         260
  1864-BB0102                        +19.9%  Seasonal Baseline            2,352       2,935
  1864-BB0102PCS2                    +58.5%  Sparse Intermittent               54         130
  1864-BB0102PX12                    +96.9%  Sparse Intermittent                4         130
  1864-BB0125PCS6                    +85.8%  Seasonal Baseline               37         260
  1864-BB0126                        +10.1%  Seasonal Baseline            1,866       2,075
  1864-BB0126PCS6                   +100.0%  Croston's                     0         130
  1864-BB0131AMZ6                     +5.6%  Croston's                   302         320
  1864-BB0131EC                      +64.2%  Croston's                10,644      29,735
  1864-BB0131PCS2                     +7.8%  Croston's                 2,115       2,295
  1864-BB0149                        +94.8%  Sparse Intermittent              468       8,945
  1864-BB0149PCS12                   +46.1%  Croston's                   450         835
  1864-BB0149PCS2                   +661.1%  Croston's                 2,778         365
  1864-BB0149PCS6                     +9.7%  Heuristic                 1,804       1,645
  1864-BB0150                        +22.4%  Seasonal Baseline           20,112      16,435
  1864-BB0150PCS12                  +165.0%  Seasonal Baseline            1,240         468
  1864-BB0151                        +85.5%  Sparse Intermittent              360       2,490
  1864-BB0151PCS12                   +39.2%  Seasonal Baseline              181         130
  1864-BB0151PCS6                    +62.3%  Heuristic                    98         260
  1864-BB0152                        +66.5%  Seasonal Baseline              360       1,075
  1864-BB0152PCS12                   +86.1%  Croston's                    29         208
  1864-BB0191PCS2                   +218.0%  Sparse Intermittent              954         300
  1864-BB0191PCS6                    +96.2%  Sparse Intermittent                8         208
  1864-BB0216                        +55.9%  Croston's                   456       1,035
  1864-BB0216PCS6                    +50.0%  Sparse Intermittent               78          52
  1864-BB0217                        +73.9%  Sparse Intermittent              150         575
  1864-BB0217PCS2                   +100.0%  Croston's                     0         430
  1864-BB0217PCS6                    +88.5%  Croston's                    54         470
  1864-BB0231                        +61.8%  Seasonal Baseline            2,352       6,160
  1864-BB0231PCS6                    +83.1%  Croston's                    22         130
  1864-BB0234PCS2                   +100.0%  Croston's                     0         235
  1864-BB0234PCS6                    +77.9%  Croston's                    46         208
  1864-BB0235                        +46.2%  Sparse Intermittent            1,638       3,045
  1864-BB0235PCS2                    +34.9%  Seasonal Baseline              153         235
  1864-BB0235PCS6                   +264.3%  Croston's                   255          70
  1864-BB0236                        +39.2%  Croston's                   474         780
  1864-BB0236PCS6                    +95.4%  Croston's                     6         130
  1864-BB0237                        +51.0%  Seasonal Baseline           36,366      74,290
  1864-BB0237PCS6                    +64.6%  Seasonal Baseline               46         130
  1864-BB0409EC                      +75.4%  Seasonal Baseline              396       1,612
  1864-BB0409PCS2                    +87.4%  Sparse Intermittent               36         285
  1864-BB0409PCS6                    +89.5%  Sparse Intermittent               60         572
  1864-BB0424EC                      +50.1%  Croston's                 2,562       5,130
  1864-BB0424PCS2                   +100.0%  Sparse Intermittent                0         235
  1864-BB0435                        +97.1%  Croston's                   180       6,295
  1864-BB0435PCS6                    +96.6%  Croston's                     7         208
  1864-BB0463                        +33.2%  Seasonal Baseline            2,958       2,220
  1864-BB0466                        +59.7%  Seasonal Baseline           37,416      92,800
  1864-BB0466PCS6                    +94.9%  Heuristic                    12         235
  1864-BB0473                        +50.6%  Seasonal Baseline            5,568      11,270
  1864-BB0473PCS6                    +90.4%  Seasonal Baseline               99          52
  1864-BB0578                        +65.6%  Seasonal Baseline           11,700      33,980
  1864-BB0578PCS12                   +69.2%  Seasonal Baseline              120         390
  1864-BB0705EC                       +5.3%  Seasonal Baseline           18,930      20,000
  1864-BB0705PCS2                    +56.5%  Croston's                   999       2,295
  1864-BB0705PCS6                   +100.0%  Inactive (zero order history)                0         128
  1864-BB0712                       +177.9%  Seasonal Baseline            4,182       1,505
  1864-BB0722                        +90.2%  Croston's                   312       3,198
  1864-BB0759                        +28.1%  Seasonal Baseline            2,394       3,328
  1864-BB0759PCS6                    +97.1%  Sparse Intermittent                6         208
  1864-BB0760                       +100.0%  Croston's                     0         480
  1864-BB11150                       +25.1%  Seasonal Baseline            3,912       5,226
  1864-BB11150PCS6                   +45.7%  Seasonal Baseline              113         208
  1864-BB11417                      +100.0%  Sparse Intermittent                0         885
  1864-BB11417FL/12                  +71.6%  Croston's                   204         718
  1864-BB11417PCS24                  +62.5%  Sparse Intermittent                6          16
  1864-BB11483                       +26.8%  Seasonal Baseline           22,512      17,760
  1864-BB11483PX6                   +100.0%  Inactive                      0         335
  1864-BB11603EC                    +149.3%  Seasonal Baseline            3,876       1,555
  1864-BB11917                      +159.1%  Seasonal Baseline           23,628       9,120
  1864-BB12010                       +54.7%  Seasonal Baseline            1,422       3,142
  1864-BB12019                       +56.5%  Croston's                   288         184
  1864-BB12022/12                   +100.0%  Inactive                      0       7,125
  1864-BB12028                       +47.3%  Seasonal Baseline            1,824       3,458
  1864-BB12028PCS6                   +50.0%  Sparse Intermittent                8          16
  1864-BB12068                       +49.2%  Seasonal Baseline           12,192      24,000
  1864-BB12383                       +40.7%  Croston's                 1,200       2,025
  1864-BB12479                       +78.3%  Seasonal Baseline            1,140       5,265
  1864-BB12752                       +16.3%  Seasonal Baseline            1,542       1,326
  1864-BB13435                       +71.7%  Seasonal Baseline            5,718      20,195
  1864-BB13435PCS3                  +161.7%  Seasonal Baseline            3,454       1,320
  1864-BB13435PCS6                  +100.0%  Croston's                     0         135
  1864-BB13435PX3                   +100.0%  Inactive                      0       3,640
  1864-BB13435PX6                   +100.0%  Inactive                      0       1,035
  1864-BB13436                        +7.9%  Seasonal Baseline            7,338       7,965
  1864-BB13436CLR/12                +100.0%  Inactive                      0       5,610
  1864-BB13436PCS6                   +97.7%  Sparse Intermittent                3         130
  1864-BB13436PX3                    +12.1%  Sparse Intermittent              580         660
  1864-BB13437PCS3                   +14.5%  Seasonal Baseline            1,976       2,310
  1864-BB13437PCS6                  +100.0%  Inactive                      0         900
  1864-BB13439                       +55.6%  Seasonal Baseline            4,632      10,440
  1864-BB13439PCS6                   +61.9%  Croston's                   217         570
  1864-BB13447                      +100.0%  Inactive                      0         900
  1864-BB13447CLR/12                 +18.7%  Croston's                 1,080         910
  1864-BB13448                       +10.1%  Seasonal Baseline           11,058      12,305
  1864-BB13448CLR/12                +100.0%  Inactive                      0       2,055
  1864-BB13448PCS3                   +10.7%  Seasonal Baseline            1,694       1,530
  1864-BB13448PCS6                   +59.8%  Seasonal Baseline              196         487
  1864-BB14500CLR/9                  +74.4%  Sparse Intermittent            2,925      11,420
  1864-BB14500PCS6                   +82.3%  Croston's                    23         130
  1864-BB14658                       +18.8%  Seasonal Baseline           15,960      13,430
  1864-BB14658PCS10                  +89.8%  Croston's                   112          59
  1864-BB14812                       +42.6%  Seasonal Baseline           16,520      28,800
  1864-BB14812PCS10                 +100.0%  Sparse Intermittent                0         130
  1864-BB14812PCS5                   +91.7%  Seasonal Baseline              920         480
  1864-BB15065                        +6.5%  Seasonal Baseline            3,828       3,595
  1864-BB15065PX12                   +96.9%  Sparse Intermittent                4         130
  1864-BB15067                       +35.4%  Seasonal Baseline            3,144       4,865
  1864-BB15067PX12                  +100.0%  Heuristic                     0         260
  1864-BB15069                       +70.0%  Croston's                   156         520
  1864-BB15069PCS12                  +98.5%  Sparse Intermittent                2         130
  1864-BB15073                       +29.8%  Seasonal Baseline            1,812       2,580
  1864-BB15073PCS6                   +58.3%  Croston's                    96         230
  1864-BB15075                       +12.2%  Seasonal Baseline            3,156       3,595
  1864-BB15075PX12                  +100.0%  Inactive                      0         130
  1864-BB15075PX2                    +63.7%  Croston's                   156         430
  1864-BB15076                       +15.5%  Seasonal Baseline            2,904       3,435
  1864-BB15076PCS12                  +95.4%  Sparse Intermittent                6         130
  1864-BB15077                       +21.5%  Seasonal Baseline            5,832       7,430
  1864-BB15077PX6                   +100.0%  Inactive                      0         440
  1864-BB15230                       +65.9%  Croston's                 3,770      11,055
  1864-BB15230PCS10                  +61.7%  Croston's                    88         230
  1864-BB15230PX5                    +72.2%  Heuristic                   168         605
  1864-BB15258                       +67.7%  Croston's                 3,590      11,105
  1864-BB15258PCS10                  +62.3%  Croston's                    49         130
  1864-BB15258PCS5                   +43.1%  Seasonal Baseline               74         130
  1864-BB15775                       +23.5%  Seasonal Baseline            9,120      11,915
  1864-BB15775PCS12                  +96.9%  Croston's                    12         390
  1864-BB15776                      +119.2%  Croston's                24,540      11,195
  1864-BB15776PCS12                 +130.0%  Seasonal Baseline              299         130
  1864-BB15841                       +34.2%  Croston's                 2,568       3,905
  1864-BB16137                      +100.0%  Inactive                      0         880
  1864-BB16137PCS2                  +100.0%  Heuristic                     0         235
  1864-BB16180                       +88.1%  Sparse Intermittent              792       6,670
  1864-BB16180PCS12                  +93.8%  Sparse Intermittent                8         130
  1864-BB16180PCS2                   +64.3%  Croston's                    84         235
  1864-BB16316                       +67.5%  Heuristic                    78         240
  1864-BB16450                       +51.3%  Seasonal Baseline            1,476       3,030
  1864-BB16450PCS12                  +12.3%  Croston's                   228         260
  1864-BB16534                      +100.0%  Croston's                     0         780
  1864-BB16534PCS12                  +53.9%  Seasonal Baseline              226         490
  1864-BB16534PX12                  +100.0%  Inactive                      0         125
  1864-BB16535                       +64.6%  Croston's                   276         780
  1864-BB16535PCS12                  +25.0%  Sparse Intermittent               12          16
  1864-BB16537                       +31.2%  Seasonal Baseline              648         494
  1864-BB16537PCS12                  +94.2%  Croston's                    25         430
  1864-BB16537PCS2                  +100.0%  Heuristic                     0         235
  1864-BB16691                       +42.8%  Seasonal Baseline           12,672       8,875
  1864-BB16691PCS2                   +17.4%  Croston's                   276         235
  1864-BB16853                       +72.3%  Croston's                 1,188       4,290
  1864-BB16853PCS12                  +69.4%  Croston's                    72         235
  1864-BB16853PCS2                  +100.0%  Croston's                     0       2,975
  1864-BB16854                       +60.4%  Sparse Intermittent              504       1,274
  1864-BB16854PCS12                  +50.0%  Sparse Intermittent               24          16
  1864-BB18835                       +58.3%  Croston's                 1,260       3,025
  1864-BB18835PCS12                 +145.0%  Croston's                   245         100
  1864-BB19109                       +89.2%  Croston's                   492         260
  1864-BB19109PCS6                   +62.5%  Croston's                    26          16
  1864-BB19110                       +30.0%  Seasonal Baseline            8,622       6,630
  1864-BB19110PCS6                   +50.7%  Sparse Intermittent              138         280
  1864-BB19112                        +7.6%  Seasonal Baseline            5,166       4,800
  1864-BB19113                       +24.3%  Croston's                 8,154      10,770
  1864-BB19154                       +57.0%  Seasonal Baseline              516       1,200
  1864-BB19154PCS6                   +97.4%  Sparse Intermittent                6         235
  1864-BB19242                      +100.0%  Inactive                      0         160
  1864-BB19242PCS2                  +100.0%  Inactive                      0         100
  1864-BB19242PCS3                  +100.0%  Seasonal Baseline                0         235
  1864-BB20227                       +25.0%  Seasonal Baseline           17,160      22,895
  1864-BB20227PCS24                  +62.5%  Sparse Intermittent                6          16
  1864-BB20228                       +16.6%  Seasonal Baseline           17,712      21,245
  1864-BB20552                       +22.5%  Seasonal Baseline           49,032      63,300
  1864-BB20552PCS12                  +80.8%  Croston's                    25         130
  1864-BB21038                       +39.0%  Croston's                 2,976       4,875
  1864-BB21058/6                     +19.3%  Seasonal Baseline           13,590      11,395
  1864-BB21235                      +100.0%  Inactive                      0         176
  1864-BB21235PCS2                  +100.0%  Reactivating                  0         160
  1864-BB21237                       +68.9%  Seasonal Baseline            1,800       1,066
  1864-BB21237PCS12                  +91.4%  Heuristic                    11         128
  1864-BB21250                        +6.9%  Seasonal Baseline           54,024      58,000
  1864-BB21626                       +30.8%  Seasonal Baseline            1,116       1,612
  1864-BB21641                       +56.4%  Croston's                 4,620      10,590
  1864-BB21641PCS12                  +33.1%  Croston's                   719       1,075
  1864-BB21641PCS2                   +81.3%  Croston's                   624       3,330
  1864-BB21642                       +90.2%  Sparse Intermittent              324       3,315
  1864-BB21642PCS12                  +62.1%  Croston's                   125         330
  1864-BB21642PCS2                  +100.0%  Croston's                     0         985
  1864-BB21643                       +98.8%  Croston's                    48       4,140
  1864-BB21643PCS12                  +70.8%  Croston's                   105         360
  1864-BB21643PCS2                  +100.0%  Sparse Intermittent                0         690
  1864-BB21644                       +33.0%  Seasonal Baseline            1,464       2,186
  1864-BB21644PCS12                  +91.5%  Sparse Intermittent               20         235
  1864-BB21949                       +42.2%  Seasonal Baseline            3,438       5,950
  1864-BB21950                       +36.7%  Seasonal Baseline            2,616       4,135
  1864-BB21950PCS2                   +64.7%  Sparse Intermittent              312         885
  1864-BB21950PCS6                   +79.7%  Heuristic                    26         128
  1864-BB21951PCS6                   +97.1%  Sparse Intermittent                6         208
  1864-BB22025                       +24.2%  Seasonal Baseline            9,912      13,080
  1864-BB22025PCS2                    +6.2%  Croston's                   276         260
  1864-BB22094                       +32.8%  Seasonal Baseline            3,552       2,675
  1864-BB22095                       +95.9%  Croston's                    36         875
  1864-BB22095PCS2                   +58.5%  Sparse Intermittent              108         260
  1864-BB22116                       +39.5%  Seasonal Baseline           21,228      35,060
  1864-BB22117                       +84.0%  Croston's                   258       1,612
  1864-BB22118                       +54.8%  Seasonal Baseline            5,904      13,070
  1864-BB22255                      +100.0%  Inactive                      0       1,064
  1864-BB22272                       +46.3%  Croston's                13,800      25,685
  1864-BB22272PCS2                   +71.5%  Sparse Intermittent               72         253
  1864-BB23576                      +100.0%  Croston's                     0         208
  1864-BB23576PCS6                  +100.0%  Croston's                     0         235
  1864-BB24711                       +31.7%  Croston's                   560         820
  1864-BB24877                        +7.1%  Seasonal Baseline           27,704      29,825
  1864-BB24877PCS2                   +15.1%  Seasonal Baseline            2,072       1,800
  1864-BB24877PX8                   +100.0%  Inactive                      0         260
  1864-BB25518                       +74.1%  Croston's                   942       3,640
  1864-BB25518PCS6                   +22.3%  Seasonal Baseline              101         130
  1864-BB25519                       +50.0%  Heuristic                   240         160
  1864-BB25519PCS6                   +87.7%  Sparse Intermittent               16         130
  1864-BB26053                       +18.3%  Seasonal Baseline            9,584      11,725
  1864-BB26053PCS8                   +90.4%  Croston's                    25         260
  1864-BB26053PX2                   +413.0%  Seasonal Baseline            4,540         885
  1864-BB26411                       +26.0%  Seasonal Baseline           11,760      15,895
  1864-BB26411PCS2                  +224.1%  Seasonal Baseline            3,448       1,064
  1864-BB26411PX2                   +100.0%  Inactive                      0       2,164
  1864-BB26584                       +15.1%  Seasonal Baseline            1,952       2,300
  1864-BB26587                       +85.2%  Seasonal Baseline           18,220       9,840
  1864-BB26587PCS10                  +88.9%  Heuristic                    10          90
  1864-BB26612                       +23.3%  Croston's                 4,320       3,505
  1864-BB26612PCS2                   +30.8%  Sparse Intermittent              180         260
  1864-BB26613                       +26.4%  Seasonal Baseline            3,450       2,730
  1864-BB26613PCS10                  +81.2%  Sparse Intermittent                3          16
  1864-BB26613PCS2                   +78.0%  Seasonal Baseline              445         250
  1864-BB26614                       +46.9%  Seasonal Baseline              760       1,430
  1864-BB26614PCS2                   +79.0%  Croston's                   188         105
  1864-BB26737                       +18.2%  Sparse Intermittent            1,890       2,310
  1864-BB26739                       +20.5%  Seasonal Baseline            3,704       3,075
  1864-BB26739PCS8                  +100.0%  Croston's                     0         235
  1864-BB26921                        +6.8%  Seasonal Baseline            5,256       5,640
  1864-BB26922                       +42.4%  Croston's                16,152      28,030
  1864-BB26923                       +15.7%  Seasonal Baseline            1,516       1,310
  1864-BB26924                        +8.4%  Seasonal Baseline            2,396       2,615
  1864-BB27019PX10                  +100.0%  Heuristic                     0         260
  1864-BB27206PX8                    +88.5%  Sparse Intermittent               15         130
  1864-BB27359                       +65.9%  Croston's                10,284      30,125
  1864-BB27359PCS12                  +85.0%  Croston's                    39         260
  1864-BB27773PCS10                  +98.5%  Seasonal Baseline                2         130
  1864-BB28325                       +83.1%  Croston's                   430       2,550
  1864-BB28325PCS10                  +76.9%  Sparse Intermittent               30         130
  1864-BB28360                       +60.2%  Croston's                 8,808      22,125
  1864-BB28360PCS12                  +80.0%  Croston's                    26         130
  1864-BB28360PX2                    +55.0%  Sparse Intermittent              396         880
  1864-BB28473                       +45.0%  Seasonal Baseline           13,020      23,675
  1864-BB28473PCS12                   +7.7%  Seasonal Baseline            1,960       1,820
  1864-BB28480                       +15.6%  Croston's                 5,616       6,655
  1864-BB28480PCS12                   +9.3%  Seasonal Baseline              898         990
  1864-BB28719                       +25.2%  Seasonal Baseline           13,956      18,660
  1864-BB28719PCS12                  +20.5%  Seasonal Baseline            1,591       1,320
  1864-BB28720                       +11.1%  Seasonal Baseline            2,556       2,875
  1864-BB28720PCS12                  +18.9%  Seasonal Baseline              232         286
  1864-BB29120                       +30.8%  Seasonal Baseline            3,348       4,836
  1864-BB29120PCS6                   +94.2%  Croston's                    25         430
  1864-BB29122                       +37.4%  Croston's                 2,064       3,295
  1864-BB29477                       +45.2%  Seasonal Baseline            2,676       4,885
  1864-BB29477PCS12                  +54.0%  Seasonal Baseline              239         520
  1864-BB29489/12                   +306.2%  Seasonal Baseline              792         195
  1864-BB29489PCS2                   +53.8%  Sparse Intermittent              144         312
  1864-BB29561                       +27.6%  Seasonal Baseline            9,264      12,790
  1864-BB29561PCS12                  +15.9%  Seasonal Baseline              175         208
  1864-BB29712                       +58.6%  Croston's                   882       2,130
  1864-BB29712PCS6                   +83.2%  Heuristic                    35         208
  1864-BB29713                       +90.5%  Heuristic                   210       2,200
  1864-BB29713PCS6                   +99.6%  Croston's                     1         260
  1864-BB29714                       +49.5%  Seasonal Baseline              984       1,950
  1864-BB29714PCS6                   +91.3%  Croston's                    18         208
  1864-BB30050                       +95.0%  Reactivating                312         160
  1864-BB30139                       +36.4%  Seasonal Baseline            1,736       2,730
  1864-BB30139PCS2                   +38.5%  Sparse Intermittent              160         260
  1864-BB30176                       +88.7%  Sparse Intermittent              168       1,490
  1864-BB30188                       +76.2%  Croston's                 4,380      18,425
  1864-BB30189                       +70.0%  Croston's                 3,384      11,295
  1864-BB30276EC                     +70.6%  Seasonal Baseline              390       1,326
  1864-BB30279                       +72.3%  Croston's                   252         910
  1864-BB30317PCS12                 +100.0%  Inactive                      0         110
  1864-BB30371                       +95.4%  Croston's                    24         520
  1864-BB30371PCS2                  +100.0%  Heuristic                     0         235
  1864-BB30424                       +37.6%  Seasonal Baseline           10,968      17,580
  1864-BB30587EC                     +48.7%  Seasonal Baseline              372         725
  1864-BB30587PCS6                  +212.5%  Croston's                    50          16
  1864-BB30930                       +85.2%  Seasonal Baseline           12,828      86,660
  1864-BB30930PCS12                  +60.0%  Seasonal Baseline              208         130
  1864-BB31165                       +92.6%  Sparse Intermittent              288       3,875
  1864-BB31202                       +44.5%  Seasonal Baseline            5,088       9,165
  1864-BB31203PCS4                   +87.5%  Croston's                     2          16
  1864-BB31204PCS6                   +92.5%  Heuristic                     6          80
  1864-BB31256                       +97.7%  Sparse Intermittent               12         520
  1864-BB31473                       +23.3%  Seasonal Baseline            4,800       6,255
  1864-BB31473PCS2                   +70.9%  Croston's                   288         990
  1864-BB31552                       +24.4%  Croston's                25,272      33,435
  1864-BB31552CLR/9                  +32.5%  Sparse Intermittent            5,319       7,875
  1864-BB31553                      +100.0%  Croston's                     0       4,000
  1864-BB31553CLR/9                 +100.0%  Inactive                      0       9,150
  1864-BB31553PCS3                   +92.8%  Seasonal Baseline               96       1,340
  1864-BB31553PX3                   +100.0%  Inactive                      0         180
  1864-BB31641PCS6                   +69.2%  Croston's                    40         130
  1864-BB31649                       +68.0%  Croston's                   708       2,210
  1864-BB32329                      +100.0%  Inactive                      0         608
  1864-BB32329PCS2                  +100.0%  Inactive                      0         235
  1864-BB33045                      +100.0%  Heuristic                     0         640
  1864-BB33048                       +67.7%  Croston's                    84         260
  1864-BB33124                      +100.0%  Inactive                      0         110
  1864-BB33242                      +100.0%  Sparse Intermittent                0         650
  1864-BB33242PCS2                  +100.0%  Heuristic                     0         160
  1864-BB33243                       +95.3%  Seasonal Baseline              144       3,060
  1864-BB33246                       +40.4%  Seasonal Baseline            6,396       4,555
  1864-BB33246PCS2                   +87.2%  Croston's                    30         235
  1864-BB33248                       +39.1%  Seasonal Baseline            6,996       5,030
  1864-BB33248PCS12                  +95.4%  Sparse Intermittent                6         130
  1864-BB33249                      +100.0%  Sparse Intermittent                0       2,195
  1864-BB33249PCS12                  +50.0%  Sparse Intermittent                8          16
  1864-BB33249PCS2                  +100.0%  Croston's                     0         235
  1864-BB33525                       +22.3%  Seasonal Baseline            1,908       1,560
  1864-BB33526                       +13.2%  Seasonal Baseline            5,904       6,805
  1864-BB33528                       +92.0%  Croston's                   300       3,744
  1864-BB33532                       +51.3%  Seasonal Baseline            1,824       3,744
  1864-BB33703                      +100.0%  Inactive                      0         110
  1864-BB33703PCS2                  +100.0%  Croston's                     0         235
  1864-BB33706                       +18.6%  Croston's                 3,444       4,230
  1864-BB33706PDQ                   +450.0%  Sparse Intermittent            3,300         600
  1864-BB33708                       +96.3%  Croston's                 1,650      44,100
  1864-BB33721                      +343.1%  Seasonal Baseline            1,152         260
  1864-BB33722                       +11.7%  Seasonal Baseline              552         494
  1864-BB33723                      +113.3%  Seasonal Baseline              576         270
  1864-BB34389                       +45.1%  Croston's                   240         437
  1864-BB34390                       +64.5%  Heuristic                   162         456
  1864-BB34403                       +66.3%  Croston's                   204         605
  1864-BB34682                       +21.5%  Sparse Intermittent              204         260
  1864-BB34682PCS6                  +100.0%  Inactive                      0         130
  1864-BB34683                       +26.5%  Sparse Intermittent              180         245
  1864-BB34683PCS6                  +100.0%  Inactive                      0         130
  1864-BB34711                      +143.2%  Croston's                 2,736       1,125
  1864-BB34712                        +7.7%  Sparse Intermittent              192         208
  1864-BB34751                       +55.7%  Seasonal Baseline              390         880
  1864-BB34826                      +367.4%  Croston's                 1,332         285
  1864-BB35032                       +58.6%  Seasonal Baseline            4,644      11,230
  1864-BB35032PCS6                   +62.9%  Croston's                   104         280
  1864-BB35039                       +37.2%  Croston's                 5,934       9,450
  1864-BB35039PCS6                   +44.6%  Seasonal Baseline              144         260
  1864-BB35041                       +78.4%  Seasonal Baseline              498       2,305
