
============================================================
  [watchdog] Starting forecaster (inner attempt 1/3)
============================================================
  [fresh-data] disk cache bypassed; all QB data will be re-fetched on this run (use --allow-stale-cache to override)

==================================================================
  Inventory Forecaster — Pets+People
==================================================================
  [CData] priming session (getInstructions) ...
  [CData] session ready.
  Manual projection columns: 05_24_W1 -> 11_15_W26

[1/4] Pulling projections from Quickbase ...
      [QB REST] fetching field map ...
      [WARN] 1 columns absent from QB field map (first 5: ['UPSPW'])
      130 records retrieved (QB REST API)

[1.5] Amazon switchover auto-link + Switchover_Date backfill ...

[2/4] Pulling master pack + Season from Styles ...
      [QB REST] fetching Styles field map ...
      130 master pack records loaded (0 with Season tag) (QB REST API)

[2.6c] Retailer POS + OH: fetching for 130 non-Amazon mstyles ...
      49 acct-mstyle combos with retailer POS data

[2.6d] Pulling Inventory Flow (Beg Inv + Recpts + OpenPOs + LT) for 130 mstyles ...
      130 mstyles with Inv Flow data loaded (QB REST API)

[2.8] VP-Q4 forward-PO zero: fetching confirmed open POs in forward 26w window for 130 keys (w1_date=2026-05-24) ...
      [vp-q4] BULK fetch: running QB report #27 on table bp8r4dejr (replaces per-account loop) ...
      [vp-q4] 10,276 rows in 3.9s (1 API call vs ~1 per-account calls)
      [vp-q4] cached → open_pos_report.json (reused for 0h)
      [vp-q4] bucketed 173 in-scope rows across 46 keys (skipped: 10,101 out-of-scope · 0 zero-qty · 0 no-date · 2 outside-26w)
      46 keys have confirmed forward POs (total open qty: 231,266 units)

[2.9] VP-ATS: fetching ATS L26W history for 130 mstyles ...
      [vp-ats] fetching ATS L26W history from bv2sxg2ji (130 mstyles) ...
      [vp-ats] 18 mstyles with ATS history loaded  (982 filtered out)
      18 mstyles loaded, 18 with at least one non-zero ATS week
      Mstyle-family index: 115 mstyles with active siblings
      Customer-baseline  : 1 customers  (global median wk-rate: 96.2)
      Account-cadence    : 1 accounts indexed

[3/4] Running forecasts ...

[2.9] F60 -- EC transition history inheritance ...
      0 EC variants inherited parent history

[2.9b] F69 — DI direct-import sibling history pull ...
      0 DI sibling variant(s) blended into 0 base record(s)
  [watchdog] still running -- 1s since last output | last:       0 DI sibling variant(s) blended into 0 base record(s)
  [F58] Loaded 19 active AI adjustments (last 60 days)
      130 forecasts complete in 2.7s
      Croston's: 3  Heuristic: 2  Inactive: 14  Inactive+Floor: 3  Inactive+S6 (off-price): 1  OTB (zero): 38  Pre-launch NEW (manual passthrough): 4  Reactivating: 5  Seasonal Baseline: 1  Sparse Intermittent: 59  Bi-weekly enforced: 5  Alerts (>7.5%): 114
      [cat-profile gate] 6 profile(s) rejected by SKU gate (need >7 consistent SKUs):
        P2-subcategory 'Cleaning Tools||Microfiber Cloths'      n_skus=5 (filtered 9 records)
        P2-subcategory 'Cleaning Tools||Sponge'                 n_skus=7 (filtered 6 records)
        P2-subcategory 'Air Care||Aerosol'                      n_skus=7 (filtered 4 records)
        P2-subcategory 'Grooming||Paw Care'                     n_skus=3 (filtered 1 records)
        P2-subcategory 'Training||Spray'                        n_skus=4 (filtered 1 records)
        P3-category 'Training'                               n_skus=4 (filtered 1 records)
      Saved → forecast_results.json
      Open viewer: python scripts/viewer.py --results forecast_results.json

[DRY RUN] Skipping write-back.

==================================================================
  COMPLETE  |  130 records  |  Total 26w demand: 492,988
  13640-BB0151                        +0.0%  OTB (zero)                    0         0.0
  13640-BB33528                      +85.0%  Sparse Intermittent              360       2,400
  13640-SF8170                      +100.0%  Inactive                      0       1,500
  13640-BB33532                     +240.6%  Sparse Intermittent           10,728       3,150
  13640-BB33534                       +0.0%  OTB (zero)                    0         0.0
  13640-FF7110                       +59.8%  Sparse Intermittent            3,834       2,400
  13640-BB34751                      +61.6%  Sparse Intermittent              960       2,500
  13640-BB34389                      +43.1%  Sparse Intermittent           15,024      10,500
  13640-BB34390                      +15.4%  Sparse Intermittent           10,146      12,000
  13640-BB27359                       +0.0%  OTB (zero)                    0         0.0
  13640-BB26923                      +58.4%  Sparse Intermittent            2,496       6,000
  13640-BB26924                      +16.8%  Sparse Intermittent            2,496       3,000
  13640-FF30755                      +20.0%  Sparse Intermittent            1,920       2,400
  13640-FF31325                     +100.0%  Inactive                      0       6,000
  13640-FF34430                     +100.0%  Inactive                      0       1,500
  13640-FF8652                        +0.0%  OTB (zero)                    0         0.0
  13640-FF11899/24                   +92.0%  Inactive+Floor              480       6,000
  13640-FF34428                       +0.0%  OTB (zero)                    0         0.0
  13640-FF31326                       +7.5%  Sparse Intermittent [BW]       8,322       9,000
  13640-FF31063                     +100.0%  Inactive                      0       1,200
  13640-FF34974                       +0.0%  OTB (zero)                    0         0.0
  13640-FF33637                      +36.9%  Sparse Intermittent            7,392       5,400
  13640-BB31256                     +100.0%  Inactive                      0       1,350
  13640-BB36796                       +0.0%  OTB (zero)                    0         0.0
  13640-FF4930                        +0.0%  OTB (zero)                    0         0.0
  13640-FF30758                       +0.0%  OTB (zero)                    0         0.0
  13640-FF5777                        +0.0%  OTB (zero)                    0         0.0
  13640-BB0707                        +0.0%  OTB (zero)                    0         0.0
  13640-FF33877                      +49.8%  Sparse Intermittent            1,506       3,000
  13640-FF33876                     +100.0%  Inactive                      0       3,000
  13640-FF38488                     +101.0%  Sparse Intermittent            7,236       3,600
  13640-FF33872                      +98.8%  Inactive+S6 (off-price)               24       2,000
  13640-FF37778                     +121.6%  Sparse Intermittent           10,638       4,800
  13640-FF33641                      +12.2%  Sparse Intermittent            2,106       2,400
  13640-FF8287                       +72.0%  Reactivating                420       1,500
  13640-FF38675                      +75.7%  Inactive+Floor            1,824       7,500
  13640-FF38677                      +83.7%  Inactive+Floor            1,272       7,800
  13640-FF37779                      +35.7%  Sparse Intermittent            1,608       2,500
  13640-FF37780                     +200.0%  Sparse Intermittent [BW]       7,200       2,400
  13640-FF36294                      +86.0%  Reactivating                 84         600
  13640-FF36295                      +86.0%  Reactivating                 84         600
  13640-FF28457                       +0.0%  OTB (zero)                    0         0.0
  13640-BB36234                      +62.5%  Sparse Intermittent            5,064      13,500
  13640-BB36235                      +53.5%  Sparse Intermittent            3,840       8,250
  13640-BB36237                      +76.0%  Sparse Intermittent            2,640      11,000
  13640-FF33871                      +86.0%  Reactivating                168       1,200

==================================================================
  WEEKLY DETAIL — AI vs Manual projections
  Key / Model                  W 1 W 2 W 3 W 4 W 5 W 6 W 7 W 8 W 9 W10 W11 W12 W13 W14 W15 W16 W17 W18 W19 W20 W21 W22 W23 W24 W25 W26  Avg/wk   Δ%
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF11143               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF11143             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-SF8168                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-SF8168                0    0  300    0    0    0  300    0    0    0  300    0    0    0    0  300    0    0    0  300    0    0    0    0    0    0      58
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF5716                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-FF5716                0    0  300    0    0    0  300    0    0    0  300    0    0    0    0  300    0    0    0  300    0    0    0    0    0    0      58
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF4933                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF4933              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF15585               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +100.0% 
  Man 13640-FF15585               0    0    0    0    0    0    0 1200    0    0    0 1000    0    0    0    0 1200    0    0    0    0    0    0    0    0    0     131
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF15584               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0   96    0    0    0   72    0    0       6  +86.0% 
  Man 13640-FF15584               0    0    0    0    0    0    0    0    0    0    0 1200    0    0    0    0    0    0    0    0    0    0    0    0    0    0      46
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF15583               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF15583             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF11899               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF11899             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF4935                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF4935              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB12479               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB12479             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB19109               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB19109             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB19110               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB19110             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF12649               0    0    0    0    0    0    0 3966    0    0    0    0    0    0    0    0 3966    0    0    0    0    0    0    0    0 3972     458  +24.0% 
  Man 13640-FF12649               0 2400    0    0    0    0    0    0    0    0 2400    0    0    0    0 2400    0    0    0 2400    0    0    0    0    0    0     369
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF12653               0    0    0    0    0    0 2880    0    0    0    0    0    0    0    0    0    0    0    0 2880    0    0    0    0    0    0     222  +20.0% 
  Man 13640-FF12653               0    0    0    0    0    0 1200    0    0    0 1200    0    0    0    0 1200    0    0    0 1200    0    0    0    0    0    0     185
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB22272               0    0    0 16464    0    0    0 16464    0    0    0 16464    0    0    0 16464    0    0    0 16464    0    0    0 16488    0    0   3,800  +190.6% 
  Man 13640-BB22272               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 12000    0    0    0 12000    0    0    0 10000    0    0   1,308
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF20210               0    0    0  720    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      28  +86.7% 
  Man 13640-FF20210               0    0    0    0    0    0    0    0    0    0 1800    0    0    0    0 1800    0    0    0 1800    0    0    0    0    0    0     208
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF10159               0    0    0 4266    0    0    0    0    0    0    0    0    0    0    0 4266    0    0    0    0 4272    0    0    0    0    0     492  +70.7% [BW]
  Man 13640-FF10159               0    0    0    0    0    0    0    0    0    0 2500    0    0    0    0 2500    0    0    0 2500    0    0    0    0    0    0     288
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF10530               0 2208    0    0    0    0    0    0    0 2208    0    0    0    0    0    0    0 2208    0    0    0    0    0    0    0 2232     341  +1.6% 
  Man 13640-FF10530               0    0 1800    0    0    0 1800    0    0    0 1800    0    0    0    0 1800    0    0    0 1800    0    0    0    0    0    0     346
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0473                0    0    0    0    0    0    0    0    0 1374    0    0    0    0    0    0    0    0    0    0    0 1374    0    0    0    0     106  +31.3% 
  Man 13640-BB0473                0    0    0    0    0    0    0    0    0    0    0 1000    0    0    0 1000    0    0    0 1000    0    0    0 1000    0    0     154
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB16534               0    0  324    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      12  +74.1% 
  Man 13640-BB16534               0    0    0    0    0    0    0  250    0    0    0  250    0    0    0  250    0    0    0  250    0    0    0  250    0    0      48
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB29714               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB29714             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF10477               0    0    0    0    0    0 4602    0    0    0    0    0    0    0 4602    0    0    0    0    0    0    0 4602    0    0    0     531  +84.1% 
  Man 13640-FF10477               0    0    0    0    0    0    0    0    0    0 2500    0    0    0    0 2500    0    0    0 2500    0    0    0    0    0    0     288
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF10475               0    0    0 3516    0    0    0    0    0    0    0 3516    0    0    0    0    0    0    0    0    0    0    0    0    0    0     270  +17.2% [BW]
  Man 13640-FF10475               0    0    0    0    0    0    0    0    0    0 2000    0    0    0    0 2000    0    0    0 2000    0    0    0    0    0    0     231
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB21626               0    0    0    0    0    0    0    0    0 5760    0    0    0    0    0    0    0    0    0    0 5742    0    0    0    0    0     442  +36.9% 
  Man 13640-BB21626               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 2800    0    0    0 2800    0    0    0 2800    0    0     323
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB22095               0    0    0    0    0    0    0    0 7056    0    0    0    0    0    0    0    0    0 7056    0    0    0    0    0    0    0     543  +30.7% 
  Man 13640-BB22095               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 3600    0    0    0 3600    0    0    0 3600    0    0     415
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB24711               0    0    0 3590    0    0    0    0 3590    0    0    0    0 3590    0    0    0    0 3590    0    0    0    0 3590    0    0     690  +5.5% 
  Man 13640-BB24711               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 6500    0    0    0 6500    0    0    0 6000    0    0     731
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF12656               0    0 1002    0    0    0    0    0    0    0 1002    0    0    0    0    0    0    0    0  996    0    0    0    0    0    0     115  +0.0% 
  Man 13640-FF12656               0    0  600    0    0    0  600    0    0    0  600    0    0    0    0  600    0    0    0  600    0    0    0    0    0    0     115
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB23576               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB23576             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF8654                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF8654              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF13885               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-FF13885             0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF26777               0    0    0 2880    0    0    0    0    0    0    0    0    0    0 2880    0    0    0    0    0    0    0    0    0    0 2880     332  +20.0% 
  Man 13640-FF26777               0    0    0    0    0    0    0    0    0    0 2400    0    0    0    0 2400    0    0    0 2400    0    0    0    0    0    0     277
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-FF31062               0    0    0    0    0    0    0    0    0    0    0    0    0    0 3324    0    0    0    0    0    0    0    0    0 3324    0     256  +30.8% 
  Man 13640-FF31062               0 2400    0    0    0    0    0    0    0    0 2400    0    0    0    0 2400    0    0    0 2400    0    0    0    0    0    0     369
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB22025               0    0    0    0    0    0    0 2784    0    0    0    0    0    0    0    0    0 2808    0    0    0    0    0    0    0    0     215  +55.3% 
  Man 13640-BB22025               0    0    0    0    0    0    0    0    0    0    0  900    0    0    0  900    0    0    0  900    0    0    0  900    0    0     138
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB22094               0    0    0    0    0    0    0 3792    0    0    0    0    0    0    0    0    0 3816    0    0    0    0    0    0    0    0     293  +90.2% 
  Man 13640-BB22094               0    0    0    0    0    0    0    0    0    0    0 1000    0    0    0 1000    0    0    0 1000    0    0    0 1000    0    0     154
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB0191                0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0       0  +0.0% 
  Man 13640-BB0191              0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0  0.0       0
  -------------------------------------------------------------------------------------------------------------------------------------------------
  AI  13640-BB22116               0    0    0    0    0    0    0    0  360    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0      14  +70.0% 
  Man 13640-BB22116               0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  400    0    0    0  400    0    0    0  400    0    0      46
  -------------------------------------------------------------------------------------------------------------------------------------------------
